,UNITID,Cluster
0,100654,7
1,100663,3
2,100690,2
3,100706,3
4,100724,7
5,100751,3
6,100760,6
7,100812,6
8,100830,3
9,100858,3
10,100937,3
11,101028,6
12,101073,7
13,101116,4
14,101143,6
15,101161,6
16,101189,3
17,101240,7
18,101277,1
19,101286,6
20,101295,6
21,101301,6
22,101365,4
23,101435,3
24,101453,3
25,101462,7
26,101480,3
27,101499,6
28,101505,2
29,101514,6
30,101541,3
31,101569,7
32,101587,3
33,101602,6
34,101648,6
35,101675,7
36,101693,3
37,101709,3
38,101736,6
39,101879,3
40,101897,6
41,101912,7
42,101949,6
43,101958,4
44,101994,6
45,102030,7
46,102049,3
47,102058,7
48,102067,7
49,102076,6
50,102094,3
51,102234,3
52,102261,3
53,102270,7
54,102298,7
55,102313,7
56,102368,2
57,102377,7
58,102395,0
59,102429,6
60,102553,2
61,102580,3
62,102614,3
63,102632,2
64,102669,3
65,102711,6
66,102845,4
67,103361,2
68,103501,4
69,103644,4
70,103723,0
71,103732,1
72,103741,1
74,103787,3
75,103811,4
76,103893,4
77,103909,4
78,103927,4
79,103945,4
80,103954,1
81,103963,4
82,104090,4
83,104151,2
84,104160,2
85,104179,2
86,104188,3
87,104294,1
88,104346,2
89,104364,4
90,104391,1
91,104425,2
92,104434,1
93,104443,1
94,104504,4
95,104568,1
96,104577,6
97,104586,3
99,104708,2
100,104717,2
101,104805,4
102,104911,1
103,105118,4
104,105145,2
105,105154,2
106,105163,0
107,105172,0
108,105206,6
109,105215,6
110,105297,6
111,105330,2
112,105349,6
113,105367,0
114,105428,2
115,105482,4
116,105516,0
117,105525,2
118,105534,4
119,105543,4
120,105589,3
121,105659,4
122,105668,2
123,105677,6
124,105701,1
125,105747,2
126,105792,2
127,105899,3
128,105987,4
129,106041,6
130,106102,0
131,106111,1
132,106148,2
133,106245,3
134,106263,3
135,106281,1
136,106306,7
137,106315,1
138,106324,1
139,106342,3
140,106351,1
141,106360,1
142,106397,3
143,106412,7
144,106449,6
145,106458,3
146,106467,3
147,106485,6
148,106494,1
149,106546,4
150,106625,6
151,106704,3
152,106713,3
153,106795,6
154,106810,6
155,106829,6
156,106883,6
157,106892,4
158,106908,1
159,106980,6
160,106999,6
161,107044,3
162,107071,3
163,107080,3
164,107099,1
165,107123,4
166,107141,3
167,107211,1
168,107220,1
169,107275,1
170,107293,1
171,107318,6
172,107327,6
173,107363,1
174,107442,1
175,107460,6
176,107488,6
177,107512,3
178,107521,6
179,107549,6
180,107558,3
181,107585,6
182,107600,7
183,107619,6
184,107637,4
185,107655,1
186,107664,2
187,107725,6
188,107743,6
189,107789,1
190,107831,1
192,107877,3
193,107974,6
194,107983,3
195,107992,6
196,108065,1
197,108092,3
198,108232,3
199,108250,0
201,108348,4
202,108649,1
203,108667,2
204,108807,2
205,108852,3
208,108977,1
209,109040,4
211,109208,2
212,109332,4
213,109350,2
214,109651,3
215,109721,4
216,109730,4
217,109785,3
218,109819,2
219,109907,2
220,109934,1
221,110060,3
222,110097,3
223,110185,0
224,110194,4
225,110219,4
226,110246,2
228,110316,3
229,110334,2
230,110361,3
231,110370,3
233,110404,3
234,110413,3
235,110422,2
236,110468,3
237,110486,2
238,110495,2
239,110510,2
240,110529,2
241,110538,2
242,110547,2
243,110556,2
244,110565,2
245,110574,2
246,110583,2
247,110592,2
248,110608,2
249,110617,2
250,110635,2
251,110644,3
252,110653,2
253,110662,3
254,110671,2
255,110680,3
257,110705,3
258,110714,3
260,110875,1
261,110918,3
262,110945,4
263,111009,0
264,111054,1
265,111081,3
266,111188,3
268,111434,2
269,111461,2
270,111513,1
271,111638,4
272,111708,4
273,111717,4
274,111726,5
275,111744,4
276,111762,4
277,111771,4
278,111799,2
279,111887,2
280,111896,2
281,111920,2
282,111939,2
283,111948,3
284,111966,4
285,112075,3
286,112084,3
288,112172,2
290,112190,2
292,112260,3
293,112288,4
294,112367,2
295,112385,2
296,112394,3
297,112446,4
298,112455,1
300,112561,6
301,112570,3
302,112686,2
303,112826,2
304,113096,2
305,113111,2
306,113193,2
307,113218,2
308,113236,2
309,113333,2
310,113397,1
311,113449,1
313,113573,2
314,113582,3
315,113634,2
316,113698,3
318,113856,2
319,113908,1
320,113980,2
321,114044,1
322,114071,1
323,114080,1
325,114123,4
326,114266,2
327,114354,3
328,114390,3
329,114415,3
330,114433,2
331,114460,1
334,114628,1
335,114716,2
337,114761,1
338,114789,2
339,114813,3
341,114859,2
342,114938,2
343,114947,3
344,115001,2
345,115010,4
346,115083,0
347,115126,2
349,115296,2
350,115357,1
351,115393,2
352,115409,3
353,115454,0
354,115472,4
355,115490,0
356,115515,4
357,115533,4
358,115658,1
359,115728,3
361,115755,3
362,115773,2
363,115861,2
364,115931,4
365,116226,3
366,116350,1
367,116439,2
368,116466,0
369,116475,0
370,116484,0
371,116563,1
372,116712,3
373,116846,3
374,117052,2
375,117104,3
376,117113,0
377,117140,2
378,117168,3
379,117195,2
380,117238,1
381,117247,2
382,117274,2
384,117557,4
385,117575,3
386,117627,3
387,117636,3
388,117645,2
390,117690,2
391,117706,2
392,117715,2
393,117724,2
394,117733,2
395,117751,3
396,117788,2
397,117803,2
398,117867,2
399,117894,2
400,117928,0
401,117946,3
402,117955,1
403,118116,1
404,118125,1
405,118143,1
406,118161,1
407,118189,4
408,118198,4
409,118259,4
410,118277,4
411,118286,4
412,118347,2
413,118356,1
414,118541,2
415,118684,2
416,118693,3
417,118718,2
418,118772,2
419,118888,3
420,118912,2
421,118921,1
422,118930,2
423,118958,1
424,118967,4
425,118976,2
426,118994,1
427,119058,0
428,119067,2
429,119137,2
430,119164,2
431,119173,2
432,119216,2
433,119234,0
434,119270,3
435,119331,2
436,119340,4
437,119359,4
438,119368,4
439,119438,4
440,119456,4
441,119465,4
442,119508,4
443,119544,2
444,119553,4
445,119605,2
446,119775,3
447,119845,1
448,119951,1
449,120069,4
